* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 19:43:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 2 -05. 1.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 57.126 -122.975
25.937 56.996 -126.733
26.314 56.845 -130.629
26.697 56.550 -134.198
27.085 56.140 -136.304
27.479 55.840 -136.437
27.879 55.881 -136.042
28.284 56.149 -137.477
28.696 56.260 -141.343
29.113 55.876 -145.863
29.537 54.962 -147.558
29.966 54.082 -143.126
30.402 54.219 -135.076
30.844 55.297 -131.661
31.293 56.231 -134.738
31.748 56.477 -140.648
32.210 56.036 -145.869
32.678 55.161 -148.439
33.154 54.031 -148.336
33.636 52.503 -144.835
34.125 50.683 -132.330
34.621 50.397 -108.857
35.125 52.189 -90.474
35.636 54.232 -78.506
36.154 56.812 -67.915
36.680 60.031 -64.411
37.214 62.765 -68.601
37.755 64.647 -73.859
38.304 66.399 -75.508
38.861 69.012 -77.863
39.427 71.963 -87.973
40.000 74.266 -105.313
40.582 75.534 -125.961
41.172 75.753 -146.694
41.771 75.062 -164.895
42.379 73.748 -178.575
42.995 72.196 173.003
43.620 70.746 169.616
44.255 69.850 170.103
44.898 69.722 169.366
45.552 69.535 163.691
46.214 68.443 157.467
46.886 66.846 158.497
47.568 66.286 165.278
48.260 66.469 167.260
48.962 66.174 166.818
49.674 65.664 168.968
50.397 65.261 172.846
51.130 64.948 179.940
51.874 65.505 -170.124
52.628 66.818 -163.517
53.394 68.457 -158.882
54.170 70.847 -158.840
54.958 73.120 -168.413
55.758 74.250 176.449
56.569 74.179 162.326
57.391 73.532 153.038
58.226 72.967 147.214
59.073 72.477 142.409
59.932 72.034 138.801
60.804 71.763 135.320
61.688 71.490 130.853
62.586 71.143 125.747
63.496 70.684 118.560
64.420 69.468 108.310
65.357 66.650 100.530
66.307 62.576 108.939
67.272 60.809 137.514
68.250 62.272 159.825
69.243 64.442 169.299
70.250 66.212 171.115
71.272 67.365 170.160
72.309 68.193 169.754
73.360 69.034 169.131
74.427 69.798 167.854
75.510 70.577 165.958
76.608 71.257 162.823
77.723 71.842 159.444
78.853 72.419 154.947
80.000 72.736 148.780
81.164 72.533 142.965
82.344 72.082 140.847
83.542 72.018 141.127
84.757 72.276 140.252
85.990 72.537 137.529
87.241 72.606 133.847
88.510 72.486 130.354
89.797 72.258 127.758
91.103 72.132 126.254
92.428 72.227 123.556
93.773 72.080 118.175
95.137 71.314 113.227
96.520 70.260 111.765
97.924 69.243 114.101
99.349 68.813 119.551
100.794 69.006 123.932
102.260 69.644 123.387
103.747 69.305 119.783
105.256 69.304 120.464
106.787 69.106 114.417
108.340 67.636 109.334
109.916 65.280 114.629
111.515 64.306 135.457
113.137 66.323 148.080
114.783 68.159 147.439
116.452 68.845 140.367
118.146 67.992 135.289
119.865 67.258 140.665
121.608 67.587 149.136
123.377 68.926 149.739
125.171 69.116 146.495
126.992 69.108 146.091
128.839 69.239 147.678
130.713 69.454 150.287
132.615 70.515 152.014
134.543 71.466 148.045
136.500 71.888 142.946
138.486 72.405 139.231
140.500 73.316 131.829
142.544 73.588 116.650
144.617 72.755 100.190
146.721 71.113 85.109
148.855 67.748 65.366
151.020 61.010 61.944
153.217 56.145 86.558
155.445 49.095 137.209
157.706 57.688 -157.639
160.000 64.274 -173.663
162.327 65.130 163.082
164.688 63.462 151.245
167.084 60.787 151.534
169.514 57.388 158.450
171.980 55.054 -104.929
174.481 66.695 -116.138
177.019 70.845 -141.035
179.594 72.481 -170.950
182.206 70.498 156.893
184.856 65.772 144.897
187.545 59.793 158.557
190.273 59.277 -142.606
193.041 66.379 -129.516
195.849 69.392 -151.476
198.697 69.391 -170.356
