* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 19:32:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3.5 -0.5 0.532:36
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 58.289 -68.275
25.937 58.503 -67.985
26.314 59.040 -69.219
26.697 59.581 -72.635
27.085 59.905 -77.264
27.479 59.979 -81.728
27.879 59.916 -85.108
28.284 59.864 -87.452
28.696 59.864 -89.509
29.113 59.809 -91.660
29.537 59.587 -92.985
29.966 59.334 -91.864
30.402 59.462 -88.357
30.844 60.184 -85.797
31.293 61.081 -86.986
31.748 61.653 -90.870
32.210 61.790 -94.546
32.678 61.826 -96.091
33.154 62.160 -97.092
33.636 62.621 -101.117
34.125 62.575 -108.570
34.621 61.544 -116.058
35.125 59.525 -117.461
35.636 57.595 -107.865
36.154 56.949 -94.713
36.680 56.336 -82.252
37.214 56.185 -58.294
37.755 58.946 -35.130
38.304 62.390 -25.175
38.861 65.889 -19.095
39.427 69.970 -20.029
40.000 73.740 -31.249
40.582 76.425 -48.719
41.172 77.922 -67.742
41.771 78.468 -84.408
42.379 78.686 -96.446
42.995 79.304 -106.795
43.620 80.071 -121.228
44.255 80.112 -140.253
44.898 78.818 -159.830
45.552 76.013 -172.669
46.214 73.030 -168.625
46.886 72.696 -158.719
47.568 72.928 -161.166
48.260 71.899 -164.980
48.962 70.548 -161.030
49.674 70.021 -152.562
50.397 70.230 -143.218
51.130 71.448 -135.329
51.874 73.117 -134.107
52.628 74.487 -136.667
53.394 75.918 -140.409
54.170 77.527 -149.118
54.958 78.526 -164.212
55.758 78.310 178.327
56.569 76.918 164.186
57.391 75.065 156.762
58.226 73.367 153.301
59.073 71.522 152.336
59.932 69.748 156.490
60.804 68.400 163.665
61.688 67.329 174.825
62.586 67.455 -168.559
63.496 69.676 -157.028
64.420 72.206 -161.207
65.357 73.226 -173.947
66.307 72.730 175.122
67.272 71.726 170.627
68.250 70.953 169.718
69.243 70.386 169.958
70.250 69.989 170.046
71.272 69.490 169.506
72.309 68.840 170.093
73.360 68.258 172.021
74.427 67.813 174.368
75.510 67.453 176.088
76.608 66.905 176.739
77.723 65.866 178.113
78.853 64.182 -175.646
80.000 62.797 -155.692
81.164 64.597 -132.557
82.344 67.457 -125.761
83.542 69.649 -127.334
84.757 71.168 -132.694
85.990 72.025 -139.213
87.241 72.450 -144.886
88.510 72.703 -149.805
89.797 72.768 -154.728
91.103 72.568 -158.410
92.428 72.472 -160.483
93.773 72.443 -163.343
95.137 72.423 -166.793
96.520 72.268 -173.370
97.924 71.337 178.066
99.349 69.242 168.853
100.794 63.806 168.879
102.260 61.861 -119.527
103.747 69.834 -110.302
105.256 73.360 -127.136
106.787 74.562 -146.142
108.340 74.302 -162.273
109.916 73.428 -175.631
111.515 71.819 174.679
113.137 70.435 166.354
114.783 68.307 152.132
116.452 63.521 121.121
118.146 60.623 -24.545
119.865 68.634 -91.516
121.608 70.491 -118.594
123.377 70.075 -139.296
125.171 68.786 -143.952
126.992 68.312 -147.877
128.839 67.440 -152.150
130.713 66.221 -153.458
132.615 65.015 -150.174
134.543 64.682 -145.862
136.500 64.930 -149.590
138.486 63.827 -163.659
140.500 60.443 168.234
142.544 57.462 38.812
144.617 65.385 -33.446
146.721 69.461 -66.059
148.855 69.871 -95.756
151.020 68.305 -106.708
153.217 68.847 -108.028
155.445 70.235 -120.702
157.706 70.332 -145.075
160.000 68.689 -165.625
162.327 66.623 177.034
164.688 64.926 158.223
167.084 62.001 136.689
169.514 58.243 118.006
171.980 52.885 122.438
174.481 53.841 152.736
177.019 59.170 151.688
179.594 62.772 140.626
182.206 67.467 123.141
184.856 70.060 88.370
187.545 69.951 57.822
190.273 68.111 36.147
193.041 66.286 25.485
195.849 64.223 22.231
198.697 63.094 17.859
