* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 19:34:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 0.5 -0.5 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 53.940 -96.038
25.937 54.206 -91.415
26.314 54.849 -92.042
26.697 55.112 -96.636
27.085 54.732 -101.849
27.479 53.793 -104.463
27.879 52.701 -102.265
28.284 52.000 -96.041
28.696 51.798 -88.776
29.113 51.848 -80.877
29.537 52.391 -71.030
29.966 53.848 -62.732
30.402 55.737 -60.743
30.844 57.235 -64.437
31.293 57.966 -70.145
31.748 57.928 -74.160
32.210 57.456 -72.848
32.678 57.436 -64.839
33.154 58.643 -55.402
33.636 60.614 -51.666
34.125 62.425 -54.066
34.621 63.596 -59.397
35.125 64.046 -63.371
35.636 64.281 -61.892
36.154 65.429 -56.568
36.680 67.471 -55.991
37.214 69.252 -61.881
37.755 70.307 -68.889
38.304 71.076 -72.644
38.861 72.416 -74.915
39.427 74.191 -81.775
40.000 75.556 -94.341
40.582 76.012 -109.275
41.172 75.451 -122.947
41.771 73.911 -131.122
42.379 71.996 -126.239
42.995 72.696 -108.763
43.620 75.943 -106.523
44.255 78.431 -120.171
44.898 79.311 -139.465
45.552 78.607 -157.392
46.214 76.809 -167.263
46.886 75.416 -166.836
47.568 75.148 -166.470
48.260 74.677 -169.454
48.962 73.812 -169.379
49.674 73.182 -166.078
50.397 72.610 -159.963
51.130 72.894 -147.543
51.874 74.790 -138.989
52.628 76.817 -137.814
53.394 78.941 -138.791
54.170 81.468 -145.757
54.958 83.462 -160.977
55.758 84.232 -179.842
56.569 83.845 163.321
57.391 82.917 151.654
58.226 82.025 143.562
59.073 81.104 137.073
59.932 80.147 133.037
60.804 79.375 131.188
61.688 78.895 130.366
62.586 78.652 128.854
63.496 78.347 127.013
64.420 78.205 126.374
65.357 78.372 124.203
66.307 78.390 119.792
67.272 78.150 115.329
68.250 77.810 111.470
69.243 77.426 107.877
70.250 76.965 104.497
71.272 76.433 101.652
72.309 75.865 99.373
73.360 75.261 97.780
74.427 74.666 97.061
75.510 74.128 97.203
76.608 73.732 98.116
77.723 73.561 99.169
78.853 73.673 99.098
80.000 73.836 95.943
81.164 73.585 90.812
82.344 72.964 86.596
83.542 72.259 83.445
84.757 71.491 79.761
85.990 70.272 75.260
87.241 68.492 73.777
88.510 66.839 76.187
89.797 65.340 78.076
91.103 63.162 77.359
92.428 57.879 82.342
93.773 54.391 162.463
95.137 62.803 -175.189
96.520 66.537 -178.692
97.924 68.753 178.212
99.349 70.377 174.754
100.794 71.580 172.952
102.260 73.454 172.431
103.747 75.610 162.069
105.256 76.181 145.765
106.787 75.295 135.518
108.340 74.663 133.935
109.916 74.779 132.000
111.515 74.875 129.024
113.137 75.172 125.108
114.783 75.554 119.032
116.452 75.893 108.599
118.146 75.182 91.306
119.865 73.051 77.528
121.608 70.608 60.876
123.377 63.502 27.034
125.171 52.618 -141.509
126.992 64.205 -163.063
128.839 68.472 -174.705
130.713 70.430 173.643
132.615 71.048 165.334
134.543 71.267 162.651
136.500 71.893 160.407
138.486 72.287 155.468
140.500 71.841 151.938
142.544 71.757 156.894
144.617 72.912 157.599
146.721 73.643 150.156
148.855 74.075 143.893
151.020 74.415 129.150
153.217 72.907 108.427
155.445 68.885 79.240
157.706 55.380 -12.894
160.000 66.516 -130.047
162.327 70.350 -152.461
164.688 72.174 -167.437
167.084 71.752 176.482
169.514 69.306 178.296
171.980 69.539 -166.931
174.481 70.339 -156.220
177.019 72.553 -150.422
179.594 74.436 -152.507
182.206 75.589 -160.135
184.856 75.808 -161.453
187.545 77.092 -165.059
190.273 77.438 -171.306
193.041 78.357 -176.620
195.849 78.394 168.708
198.697 76.454 160.638
