* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 21:08:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 0.5 3.5 1.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 54.348 -70.793
25.937 55.323 -72.320
26.314 56.094 -75.698
26.697 56.556 -79.728
27.085 56.729 -83.094
27.479 56.755 -84.805
27.879 56.851 -84.786
28.284 57.163 -84.092
28.696 57.651 -83.964
29.113 58.165 -84.783
29.537 58.603 -86.044
29.966 58.974 -87.120
30.402 59.336 -87.758
30.844 59.742 -88.008
31.293 60.235 -88.103
31.748 60.834 -88.507
32.210 61.477 -89.785
32.678 62.021 -91.887
33.154 62.379 -93.788
33.636 62.681 -94.199
34.125 63.208 -93.420
34.621 64.005 -93.477
35.125 64.783 -95.108
35.636 65.411 -96.556
36.154 66.196 -96.621
36.680 67.403 -97.471
37.214 68.711 -101.685
37.755 69.722 -107.460
38.304 70.641 -111.821
38.861 72.118 -116.213
39.427 74.042 -126.051
40.000 75.634 -142.882
40.582 76.367 -164.032
41.172 76.125 173.700
41.771 75.078 153.174
42.379 73.732 135.758
42.995 72.658 118.418
43.620 71.673 95.876
44.255 70.161 67.221
44.898 67.903 36.563
45.552 65.513 12.803
46.214 65.083 1.406
46.886 67.181 -12.000
47.568 69.279 -31.779
48.260 70.464 -50.340
48.962 71.118 -63.754
49.674 71.764 -72.871
50.397 72.535 -79.696
51.130 73.521 -85.291
51.874 74.716 -91.579
52.628 75.894 -98.796
53.394 77.225 -106.309
54.170 78.813 -117.508
54.958 79.951 -134.528
55.758 79.984 -153.973
56.569 78.919 -170.359
57.391 77.433 179.520
58.226 76.130 173.085
59.073 74.768 168.327
59.932 73.408 167.262
60.804 72.434 168.693
61.688 71.789 170.824
62.586 71.386 172.955
63.496 71.113 176.037
64.420 71.500 179.623
65.357 72.269 177.709
66.307 72.451 172.119
67.272 72.132 167.750
68.250 71.713 165.054
69.243 71.284 163.365
70.250 70.891 162.456
71.272 70.565 162.093
72.309 70.343 161.864
73.360 70.180 161.320
74.427 70.067 160.509
75.510 70.011 158.865
76.608 69.907 156.088
77.723 69.712 151.898
78.853 69.148 145.377
80.000 67.623 138.858
81.164 65.216 140.463
82.344 63.704 152.380
83.542 63.549 163.503
84.757 63.881 170.741
85.990 64.409 175.112
87.241 64.819 175.038
88.510 64.486 174.065
89.797 63.610 177.028
91.103 63.163 -172.436
92.428 64.047 -163.610
93.773 64.967 -160.262
95.137 65.579 -157.307
96.520 66.460 -152.453
97.924 67.910 -149.014
99.349 69.698 -148.116
100.794 71.963 -149.904
102.260 74.826 -157.542
103.747 77.895 -175.773
105.256 79.925 154.163
106.787 79.989 119.816
108.340 78.653 90.158
109.916 76.950 65.228
111.515 75.373 45.534
113.137 74.541 26.425
114.783 74.194 6.027
116.452 74.164 -17.982
118.146 72.957 -46.437
119.865 70.969 -62.916
121.608 69.512 -75.686
123.377 67.476 -84.962
125.171 66.809 -78.773
126.992 67.422 -83.049
128.839 67.618 -91.261
130.713 67.099 -94.975
132.615 67.617 -98.224
134.543 67.927 -105.473
136.500 68.446 -112.534
138.486 69.464 -125.074
140.500 70.097 -145.513
142.544 69.342 -171.197
144.617 68.501 163.485
146.721 66.519 133.875
148.855 64.969 104.546
151.020 62.567 54.755
153.217 54.690 0.819
155.445 47.988 -91.438
157.706 57.026 177.933
160.000 61.799 137.804
162.327 63.104 102.526
164.688 62.380 86.648
167.084 61.900 75.996
169.514 59.095 80.206
171.980 61.300 102.224
174.481 64.199 106.825
177.019 67.708 100.961
179.594 70.410 80.902
182.206 70.978 50.381
184.856 68.556 12.508
187.545 60.541 -42.923
190.273 59.124 -178.835
193.041 64.788 141.768
195.849 66.483 126.514
198.697 66.765 123.065
