* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 21:05:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 1 3.5 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 54.370 -71.183
25.937 55.402 -73.050
26.314 56.194 -76.862
26.697 56.648 -81.283
27.085 56.794 -84.926
27.479 56.787 -86.781
27.879 56.856 -86.795
28.284 57.151 -86.081
28.696 57.628 -85.915
29.113 58.136 -86.668
29.537 58.577 -87.833
29.966 58.963 -88.820
30.402 59.346 -89.416
30.844 59.776 -89.680
31.293 60.290 -89.813
31.748 60.910 -90.266
32.210 61.575 -91.622
32.678 62.137 -93.835
33.154 62.508 -95.868
33.636 62.818 -96.425
34.125 63.344 -95.796
34.621 64.130 -95.974
35.125 64.895 -97.668
35.636 65.513 -99.128
36.154 66.296 -99.203
36.680 67.507 -100.099
37.214 68.820 -104.385
37.755 69.840 -110.253
38.304 70.777 -114.787
38.861 72.264 -119.459
39.427 74.183 -129.557
40.000 75.774 -146.567
40.582 76.522 -167.852
41.172 76.317 169.755
41.771 75.341 149.065
42.379 74.110 131.334
42.995 73.187 113.458
43.620 72.390 90.382
44.255 71.136 61.530
44.898 69.218 31.252
45.552 67.159 7.977
46.214 66.756 -3.642
46.886 68.585 -16.529
47.568 70.459 -35.487
48.260 71.478 -53.583
48.962 72.004 -66.706
49.674 72.570 -75.612
50.397 73.300 -82.457
51.130 74.243 -88.241
51.874 75.394 -94.693
52.628 76.540 -102.067
53.394 77.842 -109.802
54.170 79.388 -121.217
54.958 80.478 -138.367
55.758 80.464 -157.844
56.569 79.355 -174.169
57.391 77.831 175.812
58.226 76.477 169.569
59.073 75.070 165.358
59.932 73.738 165.068
60.804 72.852 166.999
61.688 72.304 169.447
62.586 72.029 171.822
63.496 71.937 174.744
64.420 72.456 177.425
65.357 73.254 174.717
66.307 73.464 168.664
67.272 73.190 163.844
68.250 72.830 160.594
69.243 72.452 158.087
70.250 72.061 156.223
71.272 71.688 155.055
72.309 71.409 154.315
73.360 71.208 153.381
74.427 71.060 152.162
75.510 70.967 150.184
76.608 70.849 147.039
77.723 70.635 142.313
78.853 70.037 135.266
80.000 68.488 128.332
81.164 66.121 129.338
82.344 64.630 140.011
83.542 64.457 149.158
84.757 64.512 154.117
85.990 64.670 157.369
87.241 64.711 156.460
88.510 63.930 154.331
89.797 62.224 156.288
91.103 60.553 171.791
92.428 61.525 -169.711
93.773 63.247 -163.346
95.137 64.277 -162.049
96.520 65.016 -159.267
97.924 66.048 -156.320
99.349 67.436 -153.911
100.794 69.499 -154.448
102.260 72.166 -161.609
103.747 74.946 179.059
105.256 76.439 147.546
106.787 75.948 111.485
108.340 74.147 78.944
109.916 72.234 49.202
111.515 70.974 24.416
113.137 71.072 -0.515
114.783 71.896 -24.012
116.452 73.107 -48.787
118.146 73.185 -76.861
119.865 72.066 -94.345
121.608 71.243 -106.467
123.377 69.675 -117.085
125.171 68.411 -112.216
126.992 68.552 -112.429
128.839 68.467 -114.341
130.713 68.163 -112.328
132.615 68.993 -111.635
134.543 69.401 -116.654
136.500 69.586 -120.391
138.486 70.153 -125.851
140.500 70.523 -137.777
142.544 69.494 -155.155
144.617 67.619 -173.998
146.721 63.066 165.938
148.855 55.938 117.449
151.020 61.391 -14.502
153.217 66.266 -59.629
155.445 67.976 -86.278
157.706 67.819 -109.834
160.000 66.299 -131.382
162.327 62.301 -143.834
164.688 58.489 -140.092
167.084 55.729 -120.593
169.514 57.462 -115.454
171.980 56.146 -150.523
174.481 52.748 143.687
177.019 58.744 74.648
179.594 65.164 32.867
182.206 67.512 -10.448
184.856 67.369 -36.485
187.545 66.667 -59.542
190.273 65.372 -73.301
193.041 65.465 -89.882
195.849 65.171 -119.328
198.697 63.433 -147.679
