* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 19:47:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 1.5 -0.5 2.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 57.539 -125.638
25.937 57.462 -126.926
26.314 57.607 -129.064
26.697 57.710 -132.523
27.085 57.604 -136.265
27.479 57.336 -138.957
27.879 57.103 -140.266
28.284 57.027 -141.324
28.696 56.970 -143.325
29.113 56.666 -145.757
29.537 56.046 -146.171
29.966 55.544 -142.348
30.402 55.826 -136.586
30.844 56.766 -134.755
31.293 57.545 -138.133
31.748 57.715 -143.771
32.210 57.299 -148.543
32.678 56.589 -151.053
33.154 55.744 -152.405
33.636 54.394 -153.344
34.125 51.901 -148.990
34.621 49.168 -125.122
35.125 50.466 -90.411
35.636 53.858 -72.333
36.154 57.206 -63.696
36.680 60.460 -62.486
37.214 63.029 -66.811
37.755 64.830 -70.917
38.304 66.690 -71.338
38.861 69.453 -73.769
39.427 72.402 -84.451
40.000 74.606 -101.941
40.582 75.757 -122.333
41.172 75.855 -142.618
41.771 75.003 -160.334
42.379 73.379 -173.121
42.995 71.338 -178.042
43.620 69.940 -173.074
44.255 70.371 -167.286
44.898 71.414 -171.494
45.552 71.490 177.963
46.214 70.307 169.482
46.886 68.748 169.619
47.568 68.173 174.458
48.260 68.092 175.921
48.962 67.741 176.510
49.674 67.288 178.427
50.397 66.652 -177.453
51.130 66.332 -166.960
51.874 67.449 -155.556
52.628 69.138 -149.957
53.394 71.103 -146.457
54.170 73.710 -148.849
54.958 75.950 -160.561
55.758 76.990 -176.841
56.569 76.868 168.425
57.391 76.220 158.592
58.226 75.670 152.035
59.073 75.189 146.281
59.932 74.717 141.402
60.804 74.321 136.593
61.688 73.853 131.170
62.586 73.249 125.439
63.496 72.435 118.484
64.420 70.882 110.162
65.357 67.960 106.298
66.307 64.560 119.044
67.272 63.723 143.370
68.250 64.914 161.036
69.243 66.791 169.844
70.250 68.461 171.403
71.272 69.585 169.895
72.309 70.341 168.292
73.360 70.990 166.915
74.427 71.616 165.429
75.510 72.275 163.221
76.608 72.859 159.842
77.723 73.352 155.941
78.853 73.842 150.865
80.000 74.069 143.748
81.164 73.804 136.903
82.344 73.333 132.319
83.542 73.026 129.097
84.757 72.895 123.906
85.990 72.367 115.773
87.241 71.152 107.226
88.510 69.294 100.427
89.797 66.945 96.350
91.103 64.412 93.931
92.428 61.056 82.613
93.773 54.006 30.605
95.137 59.784 -67.018
96.520 66.220 -91.054
97.924 70.419 -103.004
99.349 73.536 -113.470
100.794 76.094 -123.117
102.260 78.531 -133.464
103.747 80.844 -149.159
105.256 81.935 -170.868
106.787 81.324 169.595
108.340 79.871 158.291
109.916 78.528 153.788
111.515 77.531 154.423
113.137 77.189 155.021
114.783 76.791 157.854
116.452 77.469 163.921
118.146 79.173 158.634
119.865 79.181 146.947
121.608 78.518 142.113
123.377 78.333 138.507
125.171 77.905 133.316
126.992 77.123 129.195
128.839 76.442 127.181
130.713 75.337 125.078
132.615 74.356 127.607
134.543 73.715 131.696
136.500 73.158 136.217
138.486 73.544 145.392
140.500 75.435 144.274
142.544 75.578 125.546
144.617 72.270 116.447
146.721 69.567 132.851
148.855 70.102 147.080
151.020 70.180 148.396
153.217 68.474 161.598
155.445 71.442 -174.860
157.706 74.399 175.372
160.000 75.261 165.067
162.327 75.257 150.913
164.688 73.271 136.123
167.084 68.082 138.242
169.514 66.584 -179.545
171.980 69.861 -156.666
174.481 72.976 -153.980
177.019 75.569 -155.086
179.594 77.745 -167.274
182.206 77.490 178.299
184.856 77.742 179.416
187.545 78.734 164.799
190.273 76.779 149.272
193.041 74.430 157.609
195.849 75.071 158.564
198.697 73.697 150.643
