* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 14:50:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 2 3 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 52.309 -106.981
25.937 53.722 -108.831
26.314 54.820 -113.536
26.697 55.492 -119.331
27.085 55.773 -124.624
27.479 55.811 -128.255
27.879 55.823 -129.897
28.284 55.987 -130.280
28.696 56.327 -130.508
29.113 56.755 -131.129
29.537 57.208 -132.022
29.966 57.689 -133.049
30.402 58.203 -134.345
30.844 58.712 -136.011
31.293 59.183 -137.858
31.748 59.620 -139.665
32.210 60.032 -141.388
32.678 60.404 -142.858
33.154 60.764 -143.575
33.636 61.256 -143.412
34.125 61.993 -143.512
34.621 62.826 -145.090
35.125 63.519 -147.476
35.636 64.137 -148.848
36.154 65.048 -149.225
36.680 66.328 -151.389
37.214 67.580 -156.593
37.755 68.570 -162.633
38.304 69.589 -167.686
38.861 71.039 -174.066
39.427 72.627 174.575
40.000 73.731 158.080
40.582 73.968 139.003
41.172 73.239 120.238
41.771 71.621 104.548
42.379 69.348 94.439
42.995 66.819 92.416
43.620 65.096 100.408
44.255 65.463 108.230
44.898 66.407 103.859
45.552 66.118 92.576
46.214 64.366 84.829
46.886 62.521 88.242
47.568 62.165 93.677
48.260 61.871 92.989
48.962 61.004 93.864
49.674 60.361 97.551
50.397 59.631 101.736
51.130 59.043 112.994
51.874 60.214 125.572
52.628 61.933 129.807
53.394 63.613 131.958
54.170 65.925 129.592
54.958 67.986 117.868
55.758 68.850 101.179
56.569 68.528 85.913
57.391 67.651 75.464
58.226 66.802 68.399
59.073 65.972 62.819
59.932 65.161 58.972
60.804 64.511 56.535
61.688 64.158 54.370
62.586 64.027 50.124
63.496 63.726 43.015
64.420 62.910 34.085
65.357 61.284 26.496
66.307 59.270 25.460
67.272 57.861 29.019
68.250 56.840 32.996
69.243 56.216 37.966
70.250 55.950 41.573
71.272 55.775 44.244
72.309 55.726 46.664
73.360 55.943 48.676
74.427 56.367 49.000
75.510 56.989 48.420
76.608 57.974 44.870
77.723 58.964 37.089
78.853 59.794 24.964
80.000 59.929 8.687
81.164 59.027 -5.719
82.344 57.984 -12.149
83.542 58.078 -13.156
84.757 59.723 -16.984
85.990 61.849 -30.144
87.241 63.492 -48.533
88.510 64.691 -68.600
89.797 65.488 -89.150
91.103 65.850 -109.812
92.428 65.608 -129.758
93.773 64.678 -147.364
95.137 63.212 -160.525
96.520 61.246 -170.022
97.924 58.209 -169.632
99.349 56.196 -144.418
100.794 59.282 -121.092
102.260 63.319 -117.846
103.747 66.981 -127.595
105.256 69.693 -147.439
106.787 70.410 -172.721
108.340 69.469 168.321
109.916 68.062 156.214
111.515 66.647 149.994
113.137 65.292 148.963
114.783 65.125 153.443
116.452 66.702 150.025
118.146 66.921 128.769
119.865 63.990 112.912
121.608 60.144 114.790
123.377 59.121 136.322
125.171 60.134 135.675
126.992 58.432 129.683
128.839 55.832 142.985
130.713 56.307 166.083
132.615 57.938 170.246
134.543 57.764 175.807
136.500 59.136 -166.273
138.486 62.826 -161.156
140.500 66.018 -171.971
142.544 67.393 170.277
144.617 67.902 151.622
146.721 66.985 136.815
148.855 65.879 125.487
151.020 64.553 116.970
153.217 63.458 110.539
155.445 61.989 99.821
157.706 59.634 91.684
160.000 57.739 88.974
162.327 56.765 78.386
164.688 55.815 45.653
167.084 55.522 -21.729
169.514 51.927 -88.856
171.980 55.722 -60.604
174.481 61.130 -88.521
177.019 63.986 -115.065
179.594 64.788 -146.642
182.206 58.841 -167.500
184.856 62.843 -120.497
187.545 66.436 -152.993
190.273 65.554 173.861
193.041 61.198 143.926
195.849 33.158 113.796
198.697 59.485 -105.801
