* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 14:51:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 2 3 2.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 51.698 149.264
25.937 53.221 151.892
26.314 54.430 151.223
26.697 55.163 149.243
27.085 55.440 147.900
27.479 55.438 148.732
27.879 55.459 152.178
28.284 55.752 156.972
28.696 56.294 161.290
29.113 56.886 164.548
29.537 57.416 167.459
29.966 57.948 170.568
30.402 58.548 173.482
30.844 59.150 175.590
31.293 59.614 177.206
31.748 59.922 179.382
32.210 60.209 -177.267
32.678 60.599 -173.273
33.154 61.051 -169.217
33.636 61.527 -164.653
34.125 62.175 -159.405
34.621 63.064 -154.935
35.125 63.932 -152.090
35.636 64.608 -149.040
36.154 65.430 -144.039
36.680 66.769 -139.694
37.214 68.261 -139.289
37.755 69.385 -140.970
38.304 70.311 -141.294
38.861 71.688 -141.379
39.427 73.394 -146.391
40.000 74.638 -157.496
40.582 74.896 -171.475
41.172 74.082 175.529
41.771 72.425 166.829
42.379 70.337 163.975
42.995 68.005 167.893
43.620 66.340 -176.390
44.255 67.381 -161.004
44.898 68.864 -161.915
45.552 68.682 -169.366
46.214 67.063 -171.070
46.886 65.793 -162.815
47.568 65.642 -156.217
48.260 65.153 -153.796
48.962 64.258 -149.452
49.674 63.391 -143.981
50.397 62.193 -137.628
51.130 60.793 -126.087
51.874 60.042 -109.259
52.628 60.161 -92.130
53.394 60.791 -74.902
54.170 62.691 -58.613
54.958 65.339 -53.609
55.758 67.074 -57.540
56.569 67.717 -62.785
57.391 67.760 -66.400
58.226 67.532 -68.474
59.073 67.211 -69.747
59.932 66.779 -71.539
60.804 66.095 -73.688
61.688 65.227 -76.195
62.586 64.037 -80.033
63.496 62.352 -84.437
64.420 60.154 -89.390
65.357 57.311 -93.950
66.307 54.649 -98.194
67.272 52.964 -114.201
68.250 52.412 -144.072
69.243 53.654 -171.410
70.250 55.426 171.561
71.272 56.710 163.401
72.309 57.661 161.648
73.360 58.494 162.915
74.427 59.118 165.279
75.510 59.623 168.689
76.608 59.991 170.287
77.723 59.641 169.911
78.853 58.055 168.682
80.000 53.433 175.118
81.164 49.826 -117.998
82.344 56.328 -84.362
83.542 60.129 -76.807
84.757 62.925 -73.015
85.990 65.092 -74.240
87.241 66.402 -77.921
88.510 67.068 -82.867
89.797 67.083 -88.510
91.103 66.669 -95.625
92.428 65.407 -107.625
93.773 62.406 -123.679
95.137 57.455 -142.657
96.520 51.711 175.746
97.924 52.108 111.782
99.349 54.978 83.190
100.794 55.633 65.199
102.260 52.752 51.354
103.747 50.196 32.988
105.256 56.745 -40.510
106.787 64.477 -85.002
108.340 68.397 -108.924
109.916 70.571 -121.765
111.515 71.494 -130.249
113.137 71.964 -129.651
114.783 72.812 -128.823
116.452 73.475 -132.634
118.146 72.114 -140.584
119.865 69.221 -128.029
121.608 69.316 -110.609
123.377 69.298 -108.155
125.171 67.058 -105.639
126.992 64.163 -93.649
128.839 61.220 -79.038
130.713 55.930 -69.822
132.615 43.038 85.648
134.543 59.001 101.569
136.500 62.578 109.515
138.486 65.032 129.837
140.500 68.778 142.559
142.544 70.492 138.271
144.617 69.787 146.184
146.721 69.551 164.280
148.855 70.566 176.819
151.020 70.260 -175.290
153.217 69.608 -161.300
155.445 68.935 -150.056
157.706 67.090 -136.119
160.000 65.308 -119.303
162.327 61.521 -102.247
164.688 55.828 -35.686
167.084 62.180 8.304
169.514 61.775 23.169
171.980 62.665 67.877
174.481 65.465 96.576
177.019 68.022 119.849
179.594 70.818 135.797
182.206 72.546 140.533
184.856 72.604 148.503
187.545 72.545 158.094
190.273 72.006 166.345
193.041 71.092 172.038
195.849 68.717 177.587
198.697 65.550 -175.699
