* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 19:27:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3 -0.5 0
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 57.720 8.297
25.937 57.957 10.341
26.314 58.618 10.384
26.697 59.264 7.532
27.085 59.602 3.134
27.479 59.588 -0.959
27.879 59.367 -3.421
28.284 59.169 -4.169
28.696 59.103 -4.333
29.113 59.047 -4.880
29.537 58.812 -5.082
29.966 58.473 -2.960
30.402 58.466 2.025
30.844 59.118 6.531
31.293 60.026 7.062
31.748 60.617 4.453
32.210 60.733 1.836
32.678 60.709 1.466
33.154 60.988 1.887
33.636 61.423 -0.760
34.125 61.343 -7.143
34.621 60.209 -13.952
35.125 57.872 -14.974
35.636 55.198 -3.099
36.154 53.879 18.253
36.680 53.641 43.341
37.214 55.635 72.348
37.755 59.306 88.069
38.304 62.494 95.270
38.861 65.917 101.276
39.427 69.932 99.842
40.000 73.489 88.522
40.582 75.921 71.768
41.172 77.175 54.031
41.771 77.493 38.993
42.379 77.500 28.765
42.995 77.868 20.517
43.620 78.357 8.893
44.255 78.140 -6.261
44.898 76.716 -20.383
45.552 74.299 -26.178
46.214 72.556 -20.189
46.886 72.418 -15.806
47.568 72.034 -18.070
48.260 70.788 -18.024
48.962 69.622 -11.472
49.674 69.116 -1.792
50.397 69.363 9.585
51.130 70.650 18.285
51.874 72.173 20.487
52.628 73.419 19.807
53.394 74.774 17.630
54.170 76.211 10.294
54.958 76.961 -2.958
55.758 76.461 -18.047
56.569 74.771 -29.158
57.391 72.670 -32.858
58.226 70.771 -32.308
59.073 68.755 -28.357
59.932 67.078 -18.545
60.804 66.045 -6.927
61.688 65.324 7.789
62.586 65.934 27.045
63.496 68.546 38.557
64.420 71.070 34.266
65.357 71.963 22.609
66.307 71.320 13.435
67.272 70.169 11.311
68.250 69.330 13.403
69.243 68.884 16.180
70.250 68.553 17.245
71.272 67.993 17.900
72.309 67.338 19.051
73.360 66.547 21.082
74.427 65.914 24.058
75.510 65.258 25.247
76.608 64.215 25.519
77.723 62.381 25.700
78.853 59.253 32.198
80.000 55.448 60.419
81.164 57.606 103.501
82.344 61.179 112.681
83.542 63.236 112.730
84.757 64.264 108.480
85.990 64.155 104.629
87.241 63.487 106.196
88.510 63.400 111.444
89.797 63.617 112.787
91.103 63.222 111.924
92.428 62.353 112.810
93.773 61.108 114.147
95.137 59.287 117.716
96.520 56.432 122.020
97.924 49.599 143.776
99.349 53.211 -115.860
100.794 62.901 -110.789
102.260 68.319 -128.032
103.747 71.473 -151.527
105.256 72.622 -178.562
106.787 72.261 156.780
108.340 71.232 135.022
109.916 70.416 113.147
111.515 69.147 88.924
113.137 68.686 70.173
114.783 69.469 48.891
116.452 71.023 22.988
118.146 71.794 -12.952
119.865 69.490 -43.815
121.608 66.507 -60.788
123.377 61.972 -67.603
125.171 57.890 -64.866
126.992 48.020 -16.381
128.839 57.363 40.364
130.713 61.542 37.791
132.615 64.505 28.359
134.543 64.187 9.573
136.500 61.260 -2.206
138.486 56.934 6.345
140.500 50.997 49.886
142.544 62.167 76.157
144.617 64.592 47.829
146.721 66.657 4.377
148.855 67.214 -52.646
151.020 68.033 -104.822
153.217 68.150 -140.863
155.445 67.852 -164.174
157.706 66.478 174.611
160.000 61.284 162.058
162.327 51.449 -158.984
164.688 58.842 -79.831
167.084 63.977 -84.413
169.514 64.160 -87.705
171.980 63.449 -84.485
174.481 56.532 -32.395
177.019 68.451 22.607
179.594 75.674 13.143
182.206 79.458 -7.943
184.856 80.397 -24.699
187.545 80.357 -36.221
190.273 79.120 -41.899
193.041 78.198 -36.553
195.849 78.096 -36.564
198.697 76.515 -35.806
