* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 20:40:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3.5 1 1.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 56.753 -87.392
25.937 57.139 -87.476
26.314 57.789 -89.205
26.697 58.385 -93.001
27.085 58.727 -97.735
27.479 58.816 -101.961
27.879 58.798 -104.832
28.284 58.845 -106.637
28.696 58.992 -108.366
29.113 59.115 -110.501
29.537 59.104 -112.286
29.966 59.055 -112.535
30.402 59.229 -111.317
30.844 59.756 -110.627
31.293 60.394 -112.189
31.748 60.828 -115.450
32.210 60.979 -118.550
32.678 61.051 -120.224
33.154 61.288 -121.287
33.636 61.623 -123.698
34.125 61.721 -127.685
34.621 61.382 -131.171
35.125 60.794 -131.560
35.636 60.429 -128.859
36.154 60.420 -126.167
36.680 60.350 -124.354
37.214 60.043 -120.748
37.755 59.835 -113.627
38.304 59.936 -102.966
38.861 61.003 -86.468
39.427 64.264 -73.168
40.000 68.252 -75.138
40.582 71.248 -87.345
41.172 73.010 -102.856
41.771 73.795 -116.896
42.379 74.246 -127.015
42.995 75.045 -135.986
43.620 75.932 -148.928
44.255 76.111 -165.833
44.898 75.119 177.657
45.552 73.147 168.056
46.214 71.584 168.732
46.886 71.385 169.007
47.568 71.018 162.989
48.260 69.710 158.272
48.962 68.215 160.294
49.674 67.243 166.661
50.397 66.864 176.591
51.130 67.815 -172.890
51.874 69.511 -169.629
52.628 71.003 -170.788
53.394 72.668 -173.563
54.170 74.600 177.760
54.958 75.937 161.701
55.758 76.043 142.373
56.569 74.916 125.391
57.391 73.202 114.548
58.226 71.629 107.793
59.073 70.028 102.171
59.932 68.330 99.184
60.804 66.799 97.872
61.688 65.268 97.304
62.586 63.748 97.547
63.496 61.896 98.387
64.420 59.730 105.529
65.357 58.609 118.644
66.307 58.449 128.066
67.272 58.188 134.156
68.250 57.826 140.347
69.243 57.467 146.605
70.250 57.105 153.826
71.272 56.876 162.211
72.309 56.956 172.344
73.360 57.683 -178.155
74.427 58.717 -172.064
75.510 59.732 -168.883
76.608 60.610 -167.679
77.723 61.341 -168.133
78.853 61.802 -170.424
80.000 61.659 -173.714
81.164 60.749 -172.487
82.344 60.350 -162.987
83.542 61.196 -153.677
84.757 62.724 -149.616
85.990 64.071 -153.041
87.241 64.465 -159.444
88.510 64.094 -164.147
89.797 63.289 -165.120
91.103 62.590 -161.769
92.428 62.170 -157.347
93.773 61.628 -151.144
95.137 61.402 -138.820
96.520 62.777 -126.222
97.924 64.650 -122.643
99.349 65.899 -125.850
100.794 65.535 -128.853
102.260 64.551 -112.670
103.747 68.612 -90.788
105.256 73.220 -102.359
106.787 74.946 -121.475
108.340 75.419 -135.499
109.916 75.769 -146.024
111.515 75.821 -157.407
113.137 75.703 -165.514
114.783 75.928 -174.617
116.452 76.225 170.719
118.146 74.996 144.766
119.865 69.587 126.429
121.608 61.537 148.349
123.377 65.704 -159.045
125.171 68.198 -165.335
126.992 69.091 -168.964
128.839 69.555 -173.208
130.713 69.660 -176.224
132.615 69.880 179.134
134.543 69.408 175.819
136.500 69.567 177.521
138.486 70.738 173.702
140.500 71.700 162.257
142.544 71.564 144.694
144.617 70.879 132.715
146.721 70.177 113.029
148.855 68.277 92.288
151.020 65.284 63.449
153.217 54.369 34.896
155.445 58.399 136.904
157.706 63.225 92.691
160.000 64.087 57.121
162.327 65.205 23.750
164.688 66.540 -8.307
167.084 67.982 -40.768
169.514 67.931 -74.331
171.980 66.837 -88.855
174.481 68.360 -100.772
177.019 69.934 -123.408
179.594 71.339 -153.541
182.206 70.019 162.461
184.856 64.305 135.602
187.545 59.922 146.639
190.273 58.099 152.582
193.041 58.375 -178.139
195.849 64.130 179.703
198.697 65.547 160.434
