* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 21:18:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3.7 4 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 49.943 166.949
25.937 51.523 -178.502
26.314 52.727 -175.281
26.697 52.941 -174.513
27.085 52.533 -170.839
27.479 52.232 -162.987
27.879 52.470 -154.666
28.284 52.821 -149.137
28.696 52.741 -144.510
29.113 52.328 -136.146
29.537 52.530 -122.869
29.966 53.835 -112.009
30.402 55.332 -108.540
30.844 56.148 -109.986
31.293 56.007 -111.959
31.748 54.974 -110.065
32.210 53.655 -99.678
32.678 53.386 -82.353
33.154 54.291 -67.630
33.636 55.209 -56.926
34.125 56.047 -45.182
34.621 57.446 -33.159
35.125 59.152 -25.519
35.636 60.438 -20.701
36.154 61.419 -13.614
36.680 62.908 -4.780
37.214 64.844 -0.112
37.755 66.345 0.978
38.304 67.404 4.061
38.861 69.069 9.404
39.427 71.394 8.891
40.000 73.209 0.243
40.582 73.790 -11.874
41.172 73.035 -22.308
41.771 71.193 -26.236
42.379 68.823 -19.474
42.995 67.233 3.869
43.620 69.613 29.960
44.255 73.216 32.882
44.898 75.058 23.410
45.552 74.943 14.160
46.214 73.736 14.692
46.886 73.526 24.631
47.568 74.415 29.910
48.260 74.864 30.965
48.962 74.969 33.350
49.674 75.098 36.517
50.397 75.148 40.318
51.130 75.360 45.693
51.874 75.904 50.175
52.628 76.454 53.035
53.394 77.110 55.599
54.170 78.071 55.030
54.958 78.711 48.645
55.758 78.326 39.379
56.569 76.891 32.797
57.391 75.110 31.700
58.226 73.438 32.943
59.073 71.546 35.589
59.932 69.636 41.265
60.804 67.833 47.574
61.688 65.826 54.523
62.586 63.517 62.393
63.496 60.411 74.413
64.420 57.579 99.300
65.357 56.884 125.393
66.307 56.282 142.784
67.272 54.802 162.882
68.250 54.000 -168.846
69.243 54.684 -141.673
70.250 55.988 -121.515
71.272 56.953 -106.412
72.309 57.612 -91.445
73.360 58.381 -76.855
74.427 59.166 -63.508
75.510 60.077 -51.022
76.608 61.116 -41.301
77.723 62.006 -34.122
78.853 62.928 -29.254
80.000 63.636 -29.624
81.164 63.570 -32.891
82.344 63.074 -35.766
83.542 62.672 -39.528
84.757 62.463 -46.596
85.990 62.409 -55.550
87.241 62.924 -64.215
88.510 63.998 -72.614
89.797 65.325 -80.454
91.103 66.435 -88.747
92.428 66.718 -95.624
93.773 66.212 -97.829
95.137 65.267 -92.247
96.520 64.875 -82.052
97.924 64.404 -70.290
99.349 64.276 -55.847
100.794 64.034 -41.239
102.260 64.022 -17.467
103.747 66.966 3.240
105.256 69.865 0.842
106.787 70.134 -8.156
108.340 69.319 -12.235
109.916 68.140 -15.368
111.515 66.959 -15.427
113.137 67.094 -20.664
114.783 67.922 -31.686
116.452 70.041 -49.098
118.146 71.313 -75.832
119.865 70.619 -90.795
121.608 70.114 -98.204
123.377 68.327 -103.362
125.171 65.846 -96.282
126.992 62.962 -85.909
128.839 58.927 -64.253
130.713 55.697 -19.772
132.615 56.470 30.897
134.543 58.613 57.494
136.500 58.183 78.163
138.486 57.074 124.547
140.500 60.763 165.028
142.544 63.882 -178.077
144.617 64.327 -164.215
146.721 64.646 -140.140
148.855 65.446 -113.832
151.020 67.218 -90.958
153.217 68.164 -80.167
155.445 67.093 -70.562
157.706 63.749 -48.213
160.000 62.036 -0.098
162.327 64.775 32.713
164.688 65.022 47.027
167.084 62.435 68.829
169.514 61.993 111.846
171.980 60.275 128.176
174.481 54.859 -169.683
177.019 60.328 -96.394
179.594 65.345 -71.354
182.206 68.313 -64.515
184.856 65.964 -59.149
187.545 62.816 -10.508
190.273 65.579 33.171
193.041 67.202 51.624
195.849 67.793 63.962
198.697 64.023 75.192
