* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 21:29:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 3.7 4.5 1
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 52.264 -25.282
25.937 53.041 -11.474
26.314 54.254 -8.860
26.697 54.691 -11.438
27.085 54.362 -13.348
27.479 53.760 -11.463
27.879 53.516 -6.807
28.284 53.671 -3.517
28.696 53.652 -2.727
29.113 53.077 -0.906
29.537 52.418 6.970
29.966 52.928 18.685
30.402 54.552 24.128
30.844 55.943 20.999
31.293 56.393 13.819
31.748 55.773 6.967
32.210 54.233 4.803
32.678 52.496 11.069
33.154 51.550 23.096
33.636 51.133 34.816
34.125 50.748 49.842
34.621 51.581 69.152
35.125 53.572 81.467
35.636 55.159 87.833
36.154 56.466 96.454
36.680 58.557 105.311
37.214 60.971 107.386
37.755 62.707 105.846
38.304 64.033 107.128
38.861 66.118 109.777
39.427 68.752 105.368
40.000 70.756 93.058
40.582 71.564 77.580
41.172 71.123 63.310
41.771 69.576 54.151
42.379 67.184 54.815
42.995 65.326 74.810
43.620 67.860 98.320
44.255 71.594 97.575
44.898 73.606 84.731
45.552 73.781 71.601
46.214 72.839 66.749
46.886 72.595 71.319
47.568 73.514 72.974
48.260 74.149 69.808
48.962 74.362 67.618
49.674 74.630 66.826
50.397 74.939 66.307
51.130 75.396 66.715
51.874 76.166 66.147
52.628 76.944 63.756
53.394 77.823 61.083
54.170 79.055 55.175
54.958 79.985 43.024
55.758 79.877 27.735
56.569 78.709 14.911
57.391 77.163 7.681
58.226 75.814 3.242
59.073 74.386 -0.517
59.932 72.889 -1.774
60.804 71.637 -1.643
61.688 70.521 -1.931
62.586 69.417 -3.238
63.496 68.098 -6.165
64.420 66.256 -10.226
65.357 63.485 -13.173
66.307 59.777 -8.890
67.272 56.105 6.294
68.250 53.290 31.568
69.243 52.591 62.271
70.250 53.664 85.426
71.272 54.914 99.892
72.309 55.983 110.865
73.360 57.021 119.043
74.427 57.866 125.053
75.510 58.622 130.198
76.608 59.409 133.844
77.723 60.112 135.468
78.853 60.726 135.960
80.000 61.387 133.969
81.164 61.728 129.085
82.344 61.869 123.614
83.542 62.146 115.797
84.757 62.336 103.793
85.990 62.308 89.427
87.241 62.374 74.799
88.510 62.878 59.967
89.797 63.718 44.427
91.103 64.678 27.936
92.428 65.132 10.525
93.773 64.690 -3.836
95.137 63.634 -10.842
96.520 62.708 -12.154
97.924 61.370 -8.694
99.349 60.130 5.206
100.794 60.364 31.636
102.260 64.572 55.821
103.747 70.039 52.361
105.256 73.206 30.572
106.787 73.658 8.256
108.340 72.892 -7.142
109.916 71.622 -18.789
111.515 70.302 -24.998
113.137 69.174 -36.851
114.783 66.793 -50.302
116.452 63.645 -67.237
118.146 57.466 -96.219
119.865 49.327 -146.302
121.608 52.964 138.937
123.377 56.686 105.823
125.171 56.685 88.624
126.992 54.846 77.489
128.839 51.898 75.305
130.713 45.801 68.057
132.615 33.159 145.146
134.543 40.444 -179.804
136.500 34.210 105.238
138.486 49.949 6.506
140.500 58.010 -11.420
142.544 62.735 -34.605
144.617 63.449 -52.328
146.721 62.725 -59.647
148.855 61.052 -46.562
151.020 63.459 -25.689
153.217 65.422 -31.027
155.445 64.771 -35.365
157.706 62.587 -29.653
160.000 61.539 -3.771
162.327 63.855 15.334
164.688 65.641 16.083
167.084 64.965 10.422
169.514 62.403 23.684
171.980 62.830 35.427
174.481 60.341 38.243
177.019 55.918 77.340
179.594 60.054 122.030
182.206 64.536 131.148
184.856 65.900 112.191
187.545 61.849 109.715
190.273 57.932 148.219
193.041 60.870 176.430
195.849 62.904 -171.218
198.697 62.953 -173.129
