* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 19:32:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4 -0.5 0.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 58.360 -19.456
25.937 58.561 -18.241
26.314 59.144 -18.346
26.697 59.763 -20.821
27.085 60.153 -24.730
27.479 60.256 -28.529
27.879 60.188 -31.088
28.284 60.133 -32.344
28.696 60.173 -33.199
29.113 60.203 -34.380
29.537 60.066 -35.219
29.966 59.830 -34.000
30.402 59.869 -30.170
30.844 60.494 -26.506
31.293 61.393 -26.298
31.748 62.031 -29.139
32.210 62.216 -32.205
32.678 62.220 -33.072
33.154 62.500 -32.617
33.636 63.030 -34.599
34.125 63.203 -40.253
34.621 62.499 -46.743
35.125 60.832 -48.720
35.636 58.960 -41.276
36.154 58.055 -28.129
36.680 57.519 -14.549
37.214 57.364 7.014
37.755 59.467 30.076
38.304 62.546 43.289
38.861 65.936 52.518
39.427 70.045 54.308
40.000 73.898 45.190
40.582 76.665 29.408
41.172 78.231 11.850
41.771 78.829 -3.461
42.379 79.082 -14.122
42.995 79.738 -22.959
43.620 80.564 -35.846
44.255 80.678 -53.359
44.898 79.471 -71.388
45.552 76.803 -82.625
46.214 74.044 -77.681
46.886 73.774 -67.809
47.568 73.971 -69.420
48.260 72.964 -72.124
48.962 71.628 -67.401
49.674 71.014 -57.925
50.397 71.157 -46.698
51.130 72.410 -36.850
51.874 74.127 -33.889
52.628 75.554 -34.635
53.394 77.075 -36.600
54.170 78.789 -43.687
54.958 79.899 -57.264
55.758 79.805 -73.302
56.569 78.554 -86.216
57.391 76.825 -92.763
58.226 75.194 -95.293
59.073 73.450 -95.032
59.932 71.834 -90.047
60.804 70.665 -82.769
61.688 69.618 -73.529
62.586 69.061 -57.813
63.496 70.790 -41.611
64.420 73.303 -41.984
65.357 74.308 -51.350
66.307 73.920 -58.767
67.272 73.091 -60.574
68.250 72.462 -58.798
69.243 72.121 -56.236
70.250 71.865 -54.237
71.272 71.525 -52.384
72.309 71.080 -49.677
73.360 70.727 -45.673
74.427 70.528 -41.806
75.510 70.343 -38.410
76.608 70.071 -35.723
77.723 69.433 -32.910
78.853 68.326 -26.773
80.000 67.258 -12.339
81.164 67.918 7.892
82.344 70.022 20.062
83.542 72.113 24.313
84.757 73.852 23.645
85.990 75.019 20.472
87.241 75.731 17.510
88.510 76.255 15.098
89.797 76.598 12.724
91.103 76.763 11.344
92.428 77.051 10.734
93.773 77.364 8.541
95.137 77.445 5.833
96.520 77.436 2.825
97.924 77.171 -1.110
99.349 76.430 -5.773
100.794 74.670 -6.714
102.260 73.147 4.388
103.747 73.617 17.602
105.256 74.821 21.802
106.787 75.775 20.110
108.340 76.068 14.812
109.916 75.768 9.129
111.515 74.809 5.250
113.137 73.925 3.784
114.783 72.949 1.479
116.452 71.562 -4.353
118.146 67.079 -14.279
119.865 61.686 40.763
121.608 66.643 65.121
123.377 68.683 59.671
125.171 68.333 62.233
126.992 69.014 66.363
128.839 69.339 65.145
130.713 68.983 64.100
132.615 68.508 63.942
134.543 67.592 65.468
136.500 67.530 70.125
138.486 68.256 66.712
140.500 69.003 51.493
142.544 68.850 13.530
144.617 65.776 -36.357
146.721 65.122 -89.109
148.855 64.593 -124.023
151.020 66.421 -126.375
153.217 70.137 -144.876
155.445 71.601 -169.709
157.706 71.491 166.185
160.000 70.673 145.874
162.327 69.058 121.126
164.688 66.862 97.073
167.084 64.608 71.951
169.514 63.194 45.322
171.980 60.846 31.692
174.481 61.766 44.737
177.019 66.482 49.160
179.594 70.129 30.788
182.206 70.373 23.647
184.856 73.870 23.360
187.545 76.152 4.708
190.273 76.164 -15.591
193.041 75.162 -25.300
195.849 73.981 -34.736
198.697 72.062 -35.534
