* Measurement data saved by REW V5,14
* Source: Soundflower (2ch), no input selected, Left channel, volume: no control
* Format:  128k Log Swept Sine, 2 sweeps at -12,0 dB FS
* Dated: 02.01.2017 21:28:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 4 4.5 0.5
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 25.6 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
25.565 52.827 28.388
25.937 53.792 41.446
26.314 55.003 43.417
26.697 55.382 40.666
27.085 54.964 38.885
27.479 54.251 41.335
27.879 53.937 47.062
28.284 54.106 51.416
28.696 54.131 52.827
29.113 53.554 54.843
29.537 52.775 62.966
29.966 53.119 75.983
30.402 54.718 83.291
30.844 56.174 81.614
31.293 56.698 75.537
31.748 56.155 69.558
32.210 54.691 67.953
32.678 52.973 74.413
33.154 51.944 86.863
33.636 51.445 99.617
34.125 51.021 115.856
34.621 51.850 136.470
35.125 53.880 149.878
35.636 55.482 157.000
36.154 56.739 166.496
36.680 58.796 176.756
37.214 61.256 -179.860
37.755 63.039 179.504
38.304 64.365 -178.482
38.861 66.417 -174.931
39.427 69.022 -178.346
40.000 70.979 170.297
40.582 71.698 155.889
41.172 71.131 143.114
41.771 69.477 136.178
42.379 67.102 139.621
42.995 65.451 162.154
43.620 68.246 -173.458
44.255 72.065 -173.869
44.898 74.066 173.912
45.552 74.181 161.840
46.214 73.195 158.685
46.886 73.018 164.967
47.568 73.979 167.717
48.260 74.595 165.918
48.962 74.822 165.368
49.674 75.126 166.038
50.397 75.443 166.968
51.130 75.909 169.021
51.874 76.706 170.158
52.628 77.516 169.463
53.394 78.423 168.571
54.170 79.706 164.642
54.958 80.733 154.465
55.758 80.754 140.926
56.569 79.720 129.552
57.391 78.276 123.524
58.226 76.993 120.333
59.073 75.638 117.889
59.932 74.203 117.725
60.804 72.965 119.006
61.688 71.875 119.992
62.586 70.757 119.637
63.496 69.311 118.140
64.420 67.393 116.502
65.357 64.676 115.871
66.307 61.004 121.747
67.272 57.195 138.564
68.250 54.099 168.149
69.243 53.928 -155.383
70.250 55.537 -131.688
71.272 57.033 -116.484
72.309 58.294 -105.203
73.360 59.409 -96.389
74.427 60.306 -89.620
75.510 61.106 -83.199
76.608 62.003 -78.786
77.723 62.683 -76.651
78.853 63.218 -75.131
80.000 63.821 -75.420
81.164 64.197 -78.691
82.344 64.352 -82.279
83.542 64.775 -87.518
84.757 65.258 -96.631
85.990 65.655 -108.076
87.241 66.110 -119.650
88.510 66.920 -131.022
89.797 67.921 -142.788
91.103 68.987 -155.242
92.428 69.520 -169.008
93.773 69.128 179.836
95.137 68.042 175.650
96.520 67.021 178.023
97.924 65.813 -173.602
99.349 65.236 -156.225
100.794 65.926 -133.241
102.260 69.153 -109.413
103.747 74.188 -106.155
105.256 77.476 -122.199
106.787 78.099 -140.208
108.340 77.460 -151.301
109.916 76.363 -158.436
111.515 75.053 -160.417
113.137 73.801 -165.102
114.783 71.342 -168.955
116.452 67.625 -169.361
118.146 61.455 -146.186
119.865 61.432 -103.360
121.608 62.941 -79.797
123.377 64.532 -71.956
125.171 64.555 -72.897
126.992 62.280 -78.259
128.839 57.658 -67.037
130.713 53.746 -47.983
132.615 44.951 -21.961
134.543 47.966 105.177
136.500 54.336 120.883
138.486 55.295 148.113
140.500 60.687 -168.099
142.544 68.334 -168.209
144.617 70.337 175.217
146.721 70.890 174.565
148.855 71.380 175.793
151.020 71.353 174.905
153.217 69.985 175.638
155.445 68.072 -175.772
157.706 65.629 -160.645
160.000 64.107 -134.047
162.327 64.300 -104.945
164.688 65.503 -84.887
167.084 66.617 -75.456
169.514 64.886 -71.944
171.980 63.186 -38.561
174.481 64.323 -22.014
177.019 62.678 -8.839
179.594 60.779 27.355
182.206 63.641 75.086
184.856 68.380 76.330
187.545 68.796 68.662
190.273 66.419 62.462
193.041 61.077 81.977
195.849 60.903 121.124
198.697 59.289 131.739
